name,start_time,stop_time,type
LAUNCH,1977-08-20,1977-08-20,LAUNCH
EARTH-JUPITER CRUISE,1977-08-20,1979-04-25,CRUISE
JUPITER ENCOUNTER,1979-04-25,1979-08-05,FLYBY
JUPITER-SATURN CRUISE,1979-08-05,1981-06-05,CRUISE
SATURN ENCOUNTER,1981-06-05,1981-09-25,FLYBY
SATURN-URANUS CRUISE,1981-09-25,1985-11-04,CRUISE
URANUS ENCOUNTER,1985-11-04,1986-02-25,FLYBY
URANUS-NEPTUNE CRUISE,1986-02-25,1989-06-05,CRUISE
NEPTUNE ENCOUNTER,1989-06-05,1989-10-02,FLYBY
INTERSTELLAR MISSION,1989-10-02,,CRUISE